load_zone,fuel,period,fuel_cost
2023421,NaturalGas,2030,3.79
2023422,NaturalGas,2030,3.54
2023425,NaturalGas,2030,3.45
2023426,NaturalGas,2030,3.71
2023434,NaturalGas,2030,3.56
2023435,NaturalGas,2030,3.74
2023445,NaturalGas,2030,3.8
2023446,NaturalGas,2030,3.34
2023447,NaturalGas,2030,3.76
2023449,NaturalGas,2030,3.75
2023471,NaturalGas,2030,3.43
2023477,NaturalGas,2030,3.4
2023478,NaturalGas,2030,3.78
2023479,NaturalGas,2030,3.56
2023480,NaturalGas,2030,3.96
2023481,NaturalGas,2030,3.95
2023495,NaturalGas,2030,3.76
2023499,NaturalGas,2030,3.96
2023510,NaturalGas,2030,3.07
2023511,NaturalGas,2030,3.91
2023512,NaturalGas,2030,4.34
2023513,NaturalGas,2030,3.84
2025829,NaturalGas,2030,3.8
2025830,NaturalGas,2030,3.28
2025831,NaturalGas,2030,4.07
2025837,NaturalGas,2030,3.9
2025840,NaturalGas,2030,3.53
2025857,NaturalGas,2030,4.09
2025874,NaturalGas,2030,3.91
2025875,NaturalGas,2030,3.67
2025876,NaturalGas,2030,3.87
2025881,NaturalGas,2030,3.96
2025889,NaturalGas,2030,3.37
2025892,NaturalGas,2030,3.95
2025904,NaturalGas,2030,3.21
2025905,NaturalGas,2030,4.03
2025906,NaturalGas,2030,3.73
2025907,NaturalGas,2030,4.13
2025908,NaturalGas,2030,4.17
2025911,Coal,2030,3.04
2025914,NaturalGas,2030,3.65
2025915,NaturalGas,2030,3.52
2025916,NaturalGas,2030,3.9
2025923,NaturalGas,2030,3.68
2025924,NaturalGas,2030,4.0
2025925,NaturalGas,2030,3.33
2025926,NaturalGas,2030,3.9
2025927,NaturalGas,2030,3.65
2025932,NaturalGas,2030,3.66
2025933,NaturalGas,2030,3.83
2025938,NaturalGas,2030,3.35
2025943,NaturalGas,2030,4.26
2025960,NaturalGas,2030,4.05
2025961,NaturalGas,2030,3.5
2025963,NaturalGas,2030,3.63
