GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio
g12604,ng,2070141,0,.,4.38,9.588367320000001,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12605i,ng,2070142,0,5000.0,4.38,10.48845732,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12605,ng,2070142,0,.,4.38,10.48845732,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12606i,ng,2070144,0,5000.0,4.2,9.64077,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12606,ng,2070144,0,.,4.2,9.64077,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12607i,ng,2070144,0,5000.0,4.57,10.497697319999999,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12607,ng,2070144,0,.,4.57,10.497697319999999,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12608i,wind,2070146,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12608,wind,2070146,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12609i,coal,2070147,0,0.0,5.68,8.852236979999997,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12609,coal,2070147,0,.,5.68,8.852236979999997,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12610i,coal,2070147,0,0.0,4.23,6.580478639999998,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12610,coal,2070147,0,.,4.23,6.580478639999998,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12611i,coal,2070147,0,0.0,4.85,7.559624039999998,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12611,coal,2070147,0,.,4.85,7.559624039999998,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12612i,coal,2070147,0,0.0,5.22,8.12313156,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12612,coal,2070147,0,.,5.22,8.12313156,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12613i,coal,2070147,0,0.0,5.09,7.924336499999999,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12613,coal,2070147,0,.,5.09,7.924336499999999,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12614i,coal,2070147,0,0.0,5.48,8.53546698,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12614,coal,2070147,0,.,5.48,8.53546698,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12615i,coal,2070147,0,0.0,5.3,8.25507,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12615,coal,2070147,0,.,5.3,8.25507,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12616i,coal,2070147,0,0.0,5.28,8.221290000000002,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12616,coal,2070147,0,.,5.28,8.221290000000002,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12617i,wind,2070149,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12617,wind,2070149,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12618i,wind,2070150,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12618,wind,2070150,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12619i,coal,2070153,0,0.0,5.69,9.254224979999998,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12619,coal,2070153,0,.,5.69,9.254224979999998,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12620i,coal,2070154,0,0.0,5.72,9.219013679999998,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12620,coal,2070154,0,.,5.72,9.219013679999998,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12621i,coal,2070155,0,0.0,5.79,8.772685139999998,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12621,coal,2070155,0,.,5.79,8.772685139999998,40,0,0,0,1,1,0,Coal,.,.,.,.,.
