GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om
g10593,2019,5983000,0.0
g10594,2019,5983000,0.0
g10595,2019,5983000,0.0
g10596,2019,5983000,0.0
g10597,2019,5983000,0.0
g10598,2019,5983000,0.0
g10599,2019,1616000,91611.81674897551
g10600,2019,1616000,91611.81674897551
g10601,2019,1616000,91611.81674897551
g10602,2019,1600000,0.0
g10603,2019,1600000,0.0
g10604,2019,1600000,0.0
g10605,2019,1600000,0.0
g10606,2019,5983000,0.0
g10607,2019,5983000,0.0
g10608,2019,5983000,0.0
g10609,2019,5983000,0.0
g10610,2019,5983000,0.0
g10611,2019,5983000,0.0
g10612,2019,5983000,0.0
g10613,2019,5983000,0.0
g10614,2019,5983000,0.0
g10615,2019,5983000,0.0
g10616,2019,1616000,46006.95483870969
g10617,2019,1956000,0.0
g10618,2019,1956000,0.0
g10619,2019,5983000,0.0
g10620,2019,5983000,0.0
g10621,2019,5983000,0.0
g10622,2019,5983000,0.0
g10623,2019,1956000,0.0
g10624,2019,1956000,0.0
g10625,2019,1616000,635418.1263157894
g10626,2019,1616000,635418.1263157894
g10627,2019,1616000,635418.1263157894
g10628,2019,1616000,635418.1263157894
g10629,2019,1956000,0.0
g10630,2019,1956000,0.0
g10631,2019,1616000,61764.86520376176
g10632,2019,1616000,61764.86520376176
g10633,2019,5983000,0.0
g10634,2019,5983000,0.0
g10635,2019,5983000,0.0
g10636,2019,5983000,0.0
g10637,2019,5983000,0.0
g10638,2019,5983000,0.0
g10639,2019,5983000,0.0
g10640,2019,5983000,0.0
g10641,2019,5983000,0.0
g10642,2019,1956000,0.0
g10643,2019,5983000,0.0
g10644,2019,5983000,0.0
g10645,2019,5983000,0.0
g10646,2019,1616000,221929.65709312444
g10647,2019,1616000,221929.65709312444
g10648,2019,1616000,221929.65709312444
g10649,2019,1616000,221929.65709312444
g10650,2019,1616000,221929.65709312444
g10651,2019,1616000,221929.65709312444
g10652,2019,1956000,0.0
g10653,2019,1956000,0.0
g10654,2019,5983000,0.0
g10655,2019,5983000,0.0
g10656,2019,5983000,0.0
g10657,2019,5983000,0.0
g10658,2019,5983000,0.0
g10659,2019,5983000,0.0
g10660,2019,1956000,0.0
g10661,2019,1956000,0.0
g10662,2019,1956000,0.0
g10663,2019,5983000,0.0
g10664,2019,5983000,0.0
g10665,2019,5983000,0.0
g10666,2019,1600000,0.0
g10667,2019,1600000,0.0
g10668,2019,1600000,0.0
g10669,2019,5983000,0.0
g10670,2019,5983000,0.0
g10671,2019,5983000,0.0
g10672,2019,5983000,0.0
g10673,2019,5983000,0.0
g10674,2019,5983000,0.0
g10675,2019,1616000,48256.240208877294
g10676,2019,1616000,48256.240208877294
g10677,2019,1616000,48256.240208877294
g10678,2019,1600000,0.0
g10679,2019,5983000,0.0
g10680,2019,5983000,0.0
g10681,2019,1956000,0.0
g10682,2019,1956000,0.0
g10683,2019,1956000,0.0
g10684,2019,1956000,0.0
g10685,2019,1956000,0.0
g10686,2019,1956000,0.0
g10687,2019,1616000,257166.78367346938
g10688,2019,1616000,257166.78367346938
g10689,2019,1616000,257166.78367346938
g10690,2019,1616000,257166.78367346938
g10691,2019,5983000,0.0
g10692,2019,5983000,0.0
g10693,2019,5983000,0.0
g10694,2019,1956000,0.0
g10695,2019,5983000,0.0
g10696,2019,5983000,0.0
g10697,2019,1616000,62958.62202189311
g10698,2019,1616000,62958.62202189311
g10699,2019,1616000,62958.62202189311
g10700,2019,1616000,62958.62202189311
g10701,2019,5983000,0.0
g10702,2019,5983000,0.0
g10703,2019,5983000,0.0
g10704,2019,5983000,0.0
g10705,2019,1600000,0.0
g10706,2019,1600000,0.0
g10707,2019,1600000,0.0
g10708,2019,1600000,0.0
g10709,2019,1600000,0.0
g10710,2019,1600000,0.0
g10711,2019,1600000,0.0
g10712,2019,1616000,70502.37476530229
g10713,2019,1616000,70502.37476530229
g10714,2019,1616000,59738.515283842804
g10715,2019,1616000,59738.515283842804
g10716,2019,1616000,59738.515283842804
g10717,2019,1600000,0.0
g10718,2019,1600000,0.0
g10719,2019,1600000,0.0
g10720,2019,1600000,0.0
g10721,2019,1600000,0.0
g10722,2019,1956000,0.0
g10723,2019,1600000,0.0
g10724,2019,1600000,0.0
g10725,2019,1956000,0.0
g10726,2019,1956000,0.0
g10727,2019,1956000,0.0
g10728,2019,5983000,0.0
g10729,2019,5983000,0.0
g10730,2019,5983000,0.0
g10731,2019,5983000,0.0
g10732,2019,5983000,0.0
g10733,2019,5983000,0.0
g10734,2019,5983000,0.0
g10735,2019,5983000,0.0
g10736,2019,5983000,0.0
g10737,2019,5983000,0.0
g10738,2019,1956000,0.0
g10739,2019,5983000,0.0
g10740,2019,5983000,0.0
g10741,2019,5983000,0.0
g10742,2019,5983000,0.0
g10743,2019,5983000,0.0
g10744,2019,5983000,0.0
