GENERATION_PROJECT,timepoint,gen_max_capacity_factor
g11623i,1,0.3384
g11638i,1,0.3385
g11656i,1,0.2062
g11685i,1,0.3012
g11724i,1,0.2034
g11752i,1,0.1412
g11753i,1,0.1389
g11754i,1,0.1412
g11779i,1,0.1887
g11789i,1,0.2044
g11790i,1,0.2037
g11873i,1,0.2039
g11874i,1,0.2057
g11875i,1,0.2052
g11876i,1,0.205
g11877i,1,0.203
g11878i,1,0.2062
g11886i,1,0.2048
g11887i,1,0.2062
g11888i,1,0.2049
g11889i,1,0.204
g11890i,1,0.2058
g11891i,1,0.2058
g11900i,1,0.2963
g11901i,1,0.2924
g11902i,1,0.2948
g11903i,1,0.2029
g11904i,1,0.2034
g11999i,1,0.3348
g12076i,1,0.2691
g12125i,1,0.2484
g12231i,1,0.2462
g12275i,1,0.2879
g12310i,1,0.2893
g12316i,1,0.2901
g12319i,1,0.385
g12320i,1,0.3832
g12355i,1,0.3268
g12383i,1,0.3469
g12384i,1,0.3471
g12410i,1,0.3707
g12411i,1,0.3706
g12412i,1,0.3738
g12419i,1,0.3874
g12420i,1,0.3429
g12421i,1,0.3657
g12425i,1,0.3579
g12447i,1,0.3802
g12448i,1,0.3794
g12451i,1,0.3872
g12454i,1,0.3549
g12479i,1,0.3804
g12496i,1,0.3551
g12525i,1,0.3634
g12526i,1,0.3638
g12527i,1,0.3926
g12563i,1,0.3713
g12567i,1,0.3743
g12568i,1,0.3745
g12569i,1,0.3736
g12583i,1,0.3854
g12585i,1,0.4395
g12586i,1,0.4374
g12591i,1,0.4528
g12592i,1,0.4536
g12597i,1,0.46
g12598i,1,0.4597
g12599i,1,0.4591
g12600i,1,0.462
g12601i,1,0.4593
g12602i,1,0.3463
g12608i,1,0.4635
g12617i,1,0.3903
g12618i,1,0.3889
g12623i,1,0.3978
g12641i,1,0.3557
g12646i,1,0.4745
g12647i,1,0.4778
g12648i,1,0.3973
g12649i,1,0.3995
g12687i,1,0.297
g12688i,1,0.2825
g12689i,1,0.2824
g12693i,1,0.2602
g12694i,1,0.262
g12695i,1,0.2608
g12711i,1,0.285
g12712i,1,0.2818
g12713i,1,0.2837
g12717i,1,0.2898
g12725i,1,0.2786
g12726i,1,0.2773
g12727i,1,0.2757
g12728i,1,0.2951
g12732i,1,0.2737
g12733i,1,0.2791
g12734i,1,0.2772
g12738i,1,0.2825
g12739i,1,0.2826
g12740i,1,0.2819
g12741i,1,0.2824
g12742i,1,0.2787
g12743i,1,0.2765
g12744i,1,0.2777
g12745i,1,0.2755
g12751i,1,0.3339
g12752i,1,0.3302
g12758i,1,0.2986
g12778i,1,0.2766
g12779i,1,0.2591
g12780i,1,0.2614
g12781i,1,0.2598
g12794i,1,0.3805
g12795i,1,0.3905
g12796i,1,0.3924
g12810i,1,0.3313
g12811i,1,0.3311
g12821i,1,0.3465
g12822i,1,0.3464
g12851i,1,0.3791
g12853i,1,0.4177
g13911i,1,0
g13912i,1,0
g13913i,1,0
g13914i,1,0
g13915i,1,0
g13916i,1,0
g13917i,1,0
g13918i,1,0
g13919i,1,0
g13920i,1,0
g13921i,1,0
g13922i,1,0
g13923i,1,0
g13924i,1,0
g13925i,1,0
g13926i,1,0
g13927i,1,0
g13928i,1,0
g13929i,1,0
g13930i,1,0
g13931i,1,0
g13932i,1,0
g13933i,1,0
g13934i,1,0
g14007i,1,0.355
g14008i,1,0.3468
g14009i,1,0.4155
g14010i,1,0.2124
g14011i,1,0.4155
g14012i,1,0.3039
g14013i,1,0.4155
g14014i,1,0.3366
g14015i,1,0.3366
g14016i,1,0.3466
g14017i,1,0.3781
g14018i,1,0.3793
g14019i,1,0.4155
g10397i,2,0.2403
g10400i,2,0.2348
g10401i,2,0.1902
g10428i,2,0.2424
g10442i,2,0.2861
g10458i,2,0.2887
g10463i,2,0.2355
g10475i,2,0.2574
g10522i,2,0.2491
g10541i,2,0.2414
g10559i,2,0.2407
g10560i,2,0.2977
g10569i,2,0.2287
g10570i,2,0.2433
g10571i,2,0.2411
g10572i,2,0.2507
g10617i,2,0.3002
g10618i,2,0.2976
g10623i,2,0.332
g10624i,2,0.3299
g10629i,2,0.2209
g10630i,2,0.2412
g10642i,2,0.1813
g10652i,2,0.2466
g10653i,2,0.2025
g10660i,2,0.2642
g10661i,2,0.2178
g10662i,2,0.2172
g10681i,2,0.2924
g10682i,2,0.2944
g10683i,2,0.208
g10684i,2,0.209
g10685i,2,0.2082
g10686i,2,0.2072
g10694i,2,0.2391
g10722i,2,0.1853
g10725i,2,0.2677
g10726i,2,0.2127
g10727i,2,0.213
g10738i,2,0.184
g10748i,2,0.2905
g10752i,2,0.2299
g10753i,2,0.23
g10754i,2,0.2313
g10755i,2,0.2307
g10756i,2,0.2008
g10767i,2,0.2405
g10768i,2,0.2889
g10769i,2,0.2874
g10789i,2,0.2414
g10790i,2,0.2408
g10806i,2,0.2918
g10807i,2,0.2915
g10808i,2,0.293
g10819i,2,0.2416
g10872i,2,0.1946
g11033i,2,0.1939
g11034i,2,0.1947
g11035i,2,0.1956
g11036i,2,0.1945
g11041i,2,0.1896
g11042i,2,0.1863
g11043i,2,0.189
g11044i,2,0.187
g11045i,2,0.1871
g11046i,2,0.1868
g11080i,2,0.1944
g11081i,2,0.195
g11082i,2,0.1948
g11083i,2,0.1952
g11087i,2,0.1941
g11100i,2,0.1974
g11101i,2,0.1946
g11122i,2,0.1839
g11123i,2,0.1835
g11135i,2,0.1945
g11340i,2,0.3634
g11341i,2,0.3485
g11352i,2,0.3339
g11356i,2,0.3971
g11357i,2,0.3521
g11358i,2,0.3511
g11380i,2,0.3867
g11381i,2,0.3913
g11398i,2,0.3512
g11399i,2,0.3475
g11427i,2,0.3491
g11428i,2,0.3528
g11429i,2,0.3479
g11430i,2,0.351
g11431i,2,0.3528
g11432i,2,0.3503
g11433i,2,0.3493
g11434i,2,0.3517
g11435i,2,0.351
g11436i,2,0.3518
g11437i,2,0.3511
g11438i,2,0.3801
g11439i,2,0.3828
g11440i,2,0.3833
g11441i,2,0.3816
g11442i,2,0.3843
g11443i,2,0.3851
g11448i,2,0.3679
g11449i,2,0.3677
g11450i,2,0.3696
g11451i,2,0.3653
g11456i,2,0.349
g11457i,2,0.3108
g11458i,2,0.3148
g11480i,2,0.3503
g11481i,2,0.3484
g11489i,2,0.3482
g11495i,2,0.3508
g11520i,2,0.3707
g11548i,2,0.3945
g11564i,2,0.3507
g11565i,2,0.3523
g11566i,2,0.3685
g11567i,2,0.3669
g11568i,2,0.3672
g11569i,2,0.369
g11623i,2,0.3509
g11638i,2,0.3509
g11656i,2,0.2217
g11685i,2,0.2782
g11724i,2,0.2186
g11752i,2,0.156
g11753i,2,0.1578
g11754i,2,0.1579
g11779i,2,0.2641
g11789i,2,0.2175
g11790i,2,0.2169
g11873i,2,0.2211
g11874i,2,0.2187
g11875i,2,0.2187
g11876i,2,0.2172
g11877i,2,0.2191
g11878i,2,0.2199
g11886i,2,0.2174
g11887i,2,0.2218
g11888i,2,0.2186
g11889i,2,0.2192
g11890i,2,0.2182
g11891i,2,0.2182
g11900i,2,0.2379
g11901i,2,0.2358
g11902i,2,0.2402
g11903i,2,0.2173
g11904i,2,0.2203
g11999i,2,0.3508
g12076i,2,0.259
g12125i,2,0.264
g12231i,2,0.2594
g12275i,2,0.335
g12310i,2,0.3111
g12316i,2,0.3119
g12319i,2,0.4189
g12320i,2,0.4191
g12355i,2,0.3755
g12383i,2,0.4222
g12384i,2,0.4276
g12410i,2,0.4507
g12411i,2,0.4478
g12412i,2,0.4469
g12419i,2,0.442
g12420i,2,0.3852
g12421i,2,0.4379
g12425i,2,0.4025
g12447i,2,0.4675
g12448i,2,0.4685
g12451i,2,0.4549
g12454i,2,0.3826
g12479i,2,0.4699
g12496i,2,0.3811
g12525i,2,0.4246
g12526i,2,0.4226
g12527i,2,0.4512
g12563i,2,0.4451
g12567i,2,0.4549
g12568i,2,0.4523
g12569i,2,0.4531
g12583i,2,0.3903
g12585i,2,0.4814
g12586i,2,0.4835
g12591i,2,0.4729
g12592i,2,0.4677
g12597i,2,0.4888
g12598i,2,0.4914
g12599i,2,0.4892
g12600i,2,0.4883
g12601i,2,0.4875
g12602i,2,0.3663
g12608i,2,0.4523
g12617i,2,0.3914
g12618i,2,0.3878
g12623i,2,0.4042
g12641i,2,0.3871
g12646i,2,0.4703
g12647i,2,0.4723
g12648i,2,0.4039
