GENERATION_PROJECT,timepoint,gen_max_capacity_factor
g13969i,1,0.1731
g13970i,1,0.2193
g13971i,1,0.2142
g13972i,1,0.1524
g13973i,1,0.1936
g13974i,1,0.2021
g13975i,1,0.2464
g13976i,1,0.1996
g13977i,1,0.1788
g13978i,1,0.1874
g13979i,1,0.134
g13980i,1,0.2464
g13981i,1,0.1796
g13982i,1,0.2162
g13983i,1,0.1969
g13984i,1,0.2464
g13985i,1,0.1489
g13986i,1,0.196
g13987i,1,0.2015
g13988i,1,0.2056
g13989i,1,0.1946
g13990i,1,0.181
g13991i,1,0.181
g13992i,1,0.2552
g10441i,2,0
g10447i,2,0
g10448i,2,0
g10451i,2,0
g10452i,2,0
g10453i,2,0
g10454i,2,0
g10455i,2,0
g10456i,2,0
g10457i,2,0
g10473i,2,0
g10474i,2,0
g10484i,2,0
g10544i,2,0
g10545i,2,0
g10546i,2,0
g10602i,2,0
g10603i,2,0
g10604i,2,0
g10605i,2,0
g10666i,2,0
g10667i,2,0
g10668i,2,0
g10678i,2,0
g10705i,2,0
g10706i,2,0
g10707i,2,0
g10708i,2,0
g10709i,2,0
g10710i,2,0
g10711i,2,0
g10717i,2,0
g10718i,2,0
g10719i,2,0
g10720i,2,0
g10721i,2,0
g10723i,2,0
g10724i,2,0
g10763i,2,0
g10764i,2,0
g10765i,2,0
g10809i,2,0
g10810i,2,0
g10811i,2,0
g10812i,2,0
g10825i,2,0
g10826i,2,0
g10827i,2,0
g10828i,2,0
g10829i,2,0
g10858i,2,0
g10859i,2,0
g10860i,2,0
g10871i,2,0
g10903i,2,0
g10904i,2,0
g10920i,2,0
g10921i,2,0
g10922i,2,0
g10923i,2,0
g10924i,2,0
g10925i,2,0
g10935i,2,0
g10936i,2,0
g10937i,2,0
g10938i,2,0
g10939i,2,0
g10940i,2,0
g10948i,2,0
g10949i,2,0
g10955i,2,0
g10956i,2,0
g10957i,2,0
g10958i,2,0
g10959i,2,0
g10960i,2,0
g10965i,2,0
g10966i,2,0
g10967i,2,0
g10968i,2,0
g10969i,2,0
g10970i,2,0
g10973i,2,0
g10974i,2,0
g10975i,2,0
g10976i,2,0
g10989i,2,0
g10990i,2,0
g10991i,2,0
g10992i,2,0
g11066i,2,0
g11067i,2,0
g11151i,2,0
g11152i,2,0
g11153i,2,0
g11154i,2,0
g11165i,2,0
g11166i,2,0
g11167i,2,0
g11168i,2,0
g11169i,2,0
g11170i,2,0
g11171i,2,0
g11172i,2,0
g11186i,2,0
g11187i,2,0
g11200i,2,0
g11201i,2,0
g11202i,2,0
g11229i,2,0
g11230i,2,0
g11232i,2,0
g11233i,2,0
g11234i,2,0
g11235i,2,0
g11249i,2,0
g11250i,2,0
g11251i,2,0
g11253i,2,0
g11254i,2,0
g11255i,2,0
g11256i,2,0
g11257i,2,0
g11259i,2,0
g11281i,2,0
g11282i,2,0
g11283i,2,0
g11284i,2,0
g11285i,2,0
g11286i,2,0
g11287i,2,0
g11288i,2,0
g11344i,2,0
g11347i,2,0
g11348i,2,0
g11349i,2,0
g11350i,2,0
g11351i,2,0
g11353i,2,0
g11354i,2,0
g11359i,2,0
g11360i,2,0
g11361i,2,0
g11375i,2,0
g11377i,2,0
g11379i,2,0
g11382i,2,0
g11383i,2,0
g11400i,2,0
g11401i,2,0
g11402i,2,0
g11403i,2,0
g11413i,2,0
g11414i,2,0
g11415i,2,0
g11416i,2,0
g11417i,2,0
g11419i,2,0
g11420i,2,0
g11421i,2,0
g11459i,2,0
g11476i,2,0
g11477i,2,0
g11478i,2,0
g11479i,2,0
g11549i,2,0
g11550i,2,0
g11551i,2,0
g11552i,2,0
g11577i,2,0
g11578i,2,0
g11579i,2,0
g11580i,2,0
g11581i,2,0
g11582i,2,0
g11583i,2,0
g11584i,2,0
g11585i,2,0
g11639i,2,0
g11640i,2,0
g11641i,2,0
g11642i,2,0
g11651i,2,0
g11652i,2,0
g11653i,2,0
g11654i,2,0
g11658i,2,0
g11659i,2,0
g11660i,2,0
g11661i,2,0
g11662i,2,0
g11663i,2,0
g11664i,2,0
g11665i,2,0
g11666i,2,0
g11667i,2,0
g11668i,2,0
g11669i,2,0
g11670i,2,0
g11671i,2,0
g11672i,2,0
g11673i,2,0
g11674i,2,0
g11675i,2,0
g11676i,2,0
g11677i,2,0
g11678i,2,0
g11679i,2,0
g11680i,2,0
g11681i,2,0
g11682i,2,0
g11683i,2,0
g11684i,2,0
g11686i,2,0
g11709i,2,0
g11710i,2,0
g11711i,2,0
g11723i,2,0
g11725i,2,0
g11726i,2,0
g11727i,2,0
g11728i,2,0
g11729i,2,0
g11731i,2,0
g11732i,2,0
g11739i,2,0
g11750i,2,0
g11751i,2,0
g11761i,2,0
g11765i,2,0
g11766i,2,0
g11767i,2,0
g11771i,2,0
g11772i,2,0
g11773i,2,0
g11778i,2,0
g11784i,2,0
g11807i,2,0
g11808i,2,0
g11809i,2,0
g11815i,2,0
g11816i,2,0
g11817i,2,0
g11818i,2,0
g11819i,2,0
g11824i,2,0
g11825i,2,0
g11826i,2,0
g11827i,2,0
g11828i,2,0
g11829i,2,0
g11830i,2,0
g11831i,2,0
g11832i,2,0
g11833i,2,0
g11834i,2,0
g11835i,2,0
g11840i,2,0
g11842i,2,0
g11866i,2,0
g11892i,2,0
g11893i,2,0
g11894i,2,0
g11895i,2,0
g11896i,2,0
g11905i,2,0
g11914i,2,0
g11915i,2,0
g11916i,2,0
g11917i,2,0
g11918i,2,0
g11919i,2,0
g11920i,2,0
g11921i,2,0
g11922i,2,0
g11929i,2,0
g11930i,2,0
g11931i,2,0
g11932i,2,0
g11933i,2,0
g11934i,2,0
g11935i,2,0
g11936i,2,0
g11943i,2,0
g11944i,2,0
g11945i,2,0
g11946i,2,0
g11947i,2,0
g11950i,2,0
g11951i,2,0
g11955i,2,0
g11956i,2,0
g11957i,2,0
g11958i,2,0
g11959i,2,0
g11964i,2,0
g11965i,2,0
g11966i,2,0
g11967i,2,0
g11968i,2,0
g11977i,2,0
g11978i,2,0
g11979i,2,0
g11980i,2,0
g11981i,2,0
g11982i,2,0
g11983i,2,0
g11984i,2,0
g11985i,2,0
g11986i,2,0
g11987i,2,0
g11988i,2,0
g11998i,2,0
g12008i,2,0
g12009i,2,0
g12025i,2,0
g12026i,2,0
g12027i,2,0
g12028i,2,0
g12029i,2,0
g12040i,2,0
g12041i,2,0
g12042i,2,0
g12043i,2,0
g12047i,2,0
g12048i,2,0
g12049i,2,0
g12050i,2,0
g12062i,2,0
g12063i,2,0
g12064i,2,0
g12081i,2,0
g12103i,2,0
g12104i,2,0
g12117i,2,0
g12120i,2,0
g12121i,2,0
g12122i,2,0
g12123i,2,0
g12124i,2,0
g12129i,2,0
g12130i,2,0
g12131i,2,0
g12132i,2,0
g12133i,2,0
g12134i,2,0
g12135i,2,0
g12148i,2,0
g12161i,2,0
g12162i,2,0
g12169i,2,0
g12170i,2,0
g12185i,2,0
g12214i,2,0
g12215i,2,0
g12216i,2,0
g12233i,2,0
g12234i,2,0
g12245i,2,0
g12252i,2,0
g12253i,2,0
g12260i,2,0
g12264i,2,0
g12265i,2,0
g12269i,2,0
g12273i,2,0
g12274i,2,0
g12299i,2,0
g12300i,2,0
g12301i,2,0
g12302i,2,0
g12303i,2,0
g12376i,2,0
g12377i,2,0
g12378i,2,0
g12379i,2,0
g12399i,2,0
g12400i,2,0
g12401i,2,0
g12512i,2,0
g12513i,2,0
g12514i,2,0
g12515i,2,0
g12516i,2,0
g12675i,2,0
g12676i,2,0
g12677i,2,0
g12678i,2,0
g12753i,2,0
g12754i,2,0
g12874i,2,0
g13951i,2,0
g13952i,2,0
g13953i,2,0
g13954i,2,0
g13955i,2,0
g13956i,2,0
g13957i,2,0
g13958i,2,0
g13959i,2,0
g13960i,2,0
g13961i,2,0
g13962i,2,0
g13963i,2,0
g13964i,2,0
g13965i,2,0
g13966i,2,0
g13967i,2,0
g13968i,2,0
g13969i,2,0
g13970i,2,0
g13971i,2,0
g13972i,2,0
g13973i,2,0
g13974i,2,0
g13975i,2,0
g13976i,2,0
g13977i,2,0
g13978i,2,0
g13979i,2,0
g13980i,2,0
g13981i,2,0
g13982i,2,0
g13983i,2,0
g13984i,2,0
g13985i,2,0
g13986i,2,0
g13987i,2,0
g13988i,2,0
g13989i,2,0
g13990i,2,0
g13991i,2,0
g13992i,2,0
g10441i,3,0
g10447i,3,0.0032
g10448i,3,0.0032
g10451i,3,0.0029
g10452i,3,0.0029
g10453i,3,0.0029
g10454i,3,0.0031
g10455i,3,0.0031
g10456i,3,0.0031
g10457i,3,0.0031
g10473i,3,0.0061
g10474i,3,0.0061
g10484i,3,0.0031
g10544i,3,0.0023
g10545i,3,0.0023
g10546i,3,0.0023
g10602i,3,0.0029
g10603i,3,0.0029
g10604i,3,0.0029
g10605i,3,0.0029
g10666i,3,0.0087
g10667i,3,0.0087
g10668i,3,0.0087
g10678i,3,0.0075
g10705i,3,0.0079
g10706i,3,0.0079
g10707i,3,0.0079
g10708i,3,0.0079
g10709i,3,0.0079
g10710i,3,0.0079
g10711i,3,0.0079
g10717i,3,0.0081
g10718i,3,0.0081
g10719i,3,0.0081
g10720i,3,0.0081
g10721i,3,0.0081
g10723i,3,0.0066
g10724i,3,0.0066
g10763i,3,0.0084
g10764i,3,0.0084
g10765i,3,0.0084
g10809i,3,0.0199
g10810i,3,0.0199
g10811i,3,0.0199
g10812i,3,0.0199
g10825i,3,0.0067
g10826i,3,0.0067
g10827i,3,0.0069
g10828i,3,0.0069
g10829i,3,0.0069
g10858i,3,0.0068
g10859i,3,0.0068
g10860i,3,0.0068
g10871i,3,0.0108
g10903i,3,0.0077
g10904i,3,0.0077
g10920i,3,0.0045
g10921i,3,0.0045
g10922i,3,0.0045
g10923i,3,0.0045
g10924i,3,0.0045
g10925i,3,0
g10935i,3,0.0069
g10936i,3,0.0069
g10937i,3,0.0069
g10938i,3,0.0069
g10939i,3,0.0071
g10940i,3,0.0071
g10948i,3,0.0071
g10949i,3,0.0071
g10955i,3,0.0071
g10956i,3,0.0087
g10957i,3,0.0087
g10958i,3,0.0087
g10959i,3,0.0087
g10960i,3,0.0087
g10965i,3,0.0071
g10966i,3,0.0071
g10967i,3,0.0071
g10968i,3,0.0071
g10969i,3,0.0071
g10970i,3,0.0071
g10973i,3,0.0093
g10974i,3,0.0093
g10975i,3,0
g10976i,3,0
g10989i,3,0.0085
g10990i,3,0.0085
g10991i,3,0.0085
g10992i,3,0.0085
g11066i,3,0.0074
g11067i,3,0.0074
g11151i,3,0.0119
g11152i,3,0.0119
g11153i,3,0.0119
g11154i,3,0.0119
g11165i,3,0.0241
g11166i,3,0.0241
g11167i,3,0.0241
g11168i,3,0.0133
g11169i,3,0.0133
g11170i,3,0.0133
g11171i,3,0.0133
g11172i,3,0.0133
g11186i,3,0.0119
g11187i,3,0.0119
g11200i,3,0.0236
g11201i,3,0.0236
g11202i,3,0.0236
g11229i,3,0.012
g11230i,3,0.012
g11232i,3,0.0103
g11233i,3,0.0103
g11234i,3,0.0103
g11235i,3,0.0103
g11249i,3,0.0241
g11250i,3,0.0241
g11251i,3,0.0241
g11253i,3,0.0083
g11254i,3,0.0083
g11255i,3,0.0083
g11256i,3,0.0083
g11257i,3,0.0083
g11259i,3,0.0426
g11281i,3,0.0119
g11282i,3,0.0119
g11283i,3,0.0119
g11284i,3,0.0119
g11285i,3,0.0119
g11286i,3,0.0102
g11287i,3,0.0102
g11288i,3,0.0102
g11344i,3,0.0166
g11347i,3,0.0135
g11348i,3,0.0135
g11349i,3,0.0135
g11350i,3,0.0135
g11351i,3,0.0135
g11353i,3,0.0195
g11354i,3,0.0195
g11359i,3,0.0265
g11360i,3,0.0265
g11361i,3,0.0265
g11375i,3,0.0212
g11377i,3,0.0153
g11379i,3,0.0221
g11382i,3,0.0226
g11383i,3,0.0226
g11400i,3,0.0153
g11401i,3,0.0153
g11402i,3,0.0153
g11403i,3,0.0153
g11413i,3,0.0218
g11414i,3,0.0218
g11415i,3,0.0218
g11416i,3,0.0218
g11417i,3,0.0218
g11419i,3,0.0228
g11420i,3,0.0228
g11421i,3,0.0228
g11459i,3,0.0268
g11476i,3,0.0213
g11477i,3,0.0213
g11478i,3,0.0213
g11479i,3,0.0213
g11549i,3,0.0139
g11550i,3,0.0139
g11551i,3,0.0268
g11552i,3,0.0268
g11577i,3,0.0131
g11578i,3,0.0131
g11579i,3,0.0131
g11580i,3,0.0131
g11581i,3,0.0131
g11582i,3,0.0204
g11583i,3,0.0144
g11584i,3,0.0144
g11585i,3,0.0144
g11639i,3,0.0211
g11640i,3,0.0211
g11641i,3,0.0211
g11642i,3,0.0211
g11651i,3,0.0273
g11652i,3,0.0273
g11653i,3,0.0273
g11654i,3,0.0273
g11658i,3,0.0443
g11659i,3,0.0443
g11660i,3,0.0443
g11661i,3,0.0443
g11662i,3,0.0443
g11663i,3,0.0427
g11664i,3,0.0427
g11665i,3,0.0427
g11666i,3,0.0427
g11667i,3,0.0427
g11668i,3,0.0427
g11669i,3,0.0427
g11670i,3,0.0427
g11671i,3,0.0427
g11672i,3,0.0427
g11673i,3,0.0427
g11674i,3,0.0427
g11675i,3,0.0412
g11676i,3,0.0412
g11677i,3,0.0412
g11678i,3,0.0412
g11679i,3,0.0412
g11680i,3,0.0412
g11681i,3,0.0432
g11682i,3,0.0432
g11683i,3,0.0432
g11684i,3,0.0432
g11686i,3,0.0422
g11709i,3,0.0421
g11710i,3,0.0421
g11711i,3,0.0421
g11723i,3,0.0415
g11725i,3,0.0413
g11726i,3,0.0413
g11727i,3,0.0413
g11728i,3,0.0413
g11729i,3,0.0413
g11731i,3,0.0369
g11732i,3,0.0369
g11739i,3,0.0278
g11750i,3,0.041
g11751i,3,0.041
g11761i,3,0.0277
g11765i,3,0.0419
g11766i,3,0.0419
g11767i,3,0.0419
g11771i,3,0.042
g11772i,3,0.0414
g11773i,3,0.0414
g11778i,3,0.0413
g11784i,3,0.0423
g11807i,3,0.0419
g11808i,3,0.0419
g11809i,3,0.0419
g11815i,3,0.0415
g11816i,3,0.0415
g11817i,3,0.0454
g11818i,3,0.0454
g11819i,3,0.0454
g11824i,3,0.0345
g11825i,3,0.0345
g11826i,3,0.0345
g11827i,3,0.0345
g11828i,3,0.0426
g11829i,3,0.0426
g11830i,3,0.0426
g11831i,3,0.0426
g11832i,3,0.0426
g11833i,3,0.0426
g11834i,3,0.0426
g11835i,3,0.0426
g11840i,3,0.0415
g11842i,3,0.0413
g11866i,3,0.0397
g11892i,3,0.0415
g11893i,3,0.0415
g11894i,3,0.0396
g11895i,3,0.0396
g11896i,3,0.0396
g11905i,3,0.0423
g11914i,3,0.0085
g11915i,3,0.0085
g11916i,3,0.0123
g11917i,3,0.0123
g11918i,3,0.0123
g11919i,3,0.0086
g11920i,3,0.0329
g11921i,3,0.0117
g11922i,3,0.0117
g11929i,3,0.0373
g11930i,3,0.0105
g11931i,3,0.0105
g11932i,3,0.0105
g11933i,3,0.0105
g11934i,3,0.0173
g11935i,3,0.0173
g11936i,3,0.0334
g11943i,3,0.0134
g11944i,3,0.0107
g11945i,3,0.0107
g11946i,3,0.0085
g11947i,3,0.0085
g11950i,3,0.0172
g11951i,3,0.0172
g11955i,3,0.0329
g11956i,3,0.0329
g11957i,3,0.0329
g11958i,3,0.0329
g11959i,3,0.0329
g11964i,3,0.0113
g11965i,3,0.0113
g11966i,3,0.0113
g11967i,3,0.0113
g11968i,3,0.0113
g11977i,3,0.034
g11978i,3,0.034
g11979i,3,0.034
g11980i,3,0.034
g11981i,3,0.034
g11982i,3,0.034
g11983i,3,0.0141
g11984i,3,0.0141
g11985i,3,0.0168
g11986i,3,0.0168
g11987i,3,0.0168
g11988i,3,0.0341
g11998i,3,0.0123
g12008i,3,0.0086
g12009i,3,0.0086
g12025i,3,0.0332
g12026i,3,0.0104
g12027i,3,0.0104
g12028i,3,0.0104
g12029i,3,0.0332
g12040i,3,0.033
g12041i,3,0.033
g12042i,3,0.033
g12043i,3,0.0097
g12047i,3,0.0085
g12048i,3,0.0085
g12049i,3,0.0085
g12050i,3,0.0085
g12062i,3,0.0528
g12063i,3,0.0528
g12064i,3,0.0528
g12081i,3,0.059
g12103i,3,0.0844
g12104i,3,0.057
g12117i,3,0.0705
g12120i,3,0.0562
g12121i,3,0.0562
g12122i,3,0.0562
g12123i,3,0.0562
g12124i,3,0.0562
g12129i,3,0.0591
g12130i,3,0.0573
g12131i,3,0.0573
g12132i,3,0.0573
g12133i,3,0.0573
g12134i,3,0.0573
g12135i,3,0.0573
g12148i,3,0.0649
g12161i,3,0.0495
g12162i,3,0.0645
g12169i,3,0.0576
g12170i,3,0.0576
g12185i,3,0.0668
g12214i,3,0.0794
g12215i,3,0.0544
g12216i,3,0.0755
g12233i,3,0.0481
g12234i,3,0.0481
g12245i,3,0.0746
g12252i,3,0.0544
g12253i,3,0.0544
g12260i,3,0.0583
g12264i,3,0.0576
g12265i,3,0.0708
g12269i,3,0.0537
g12273i,3,0.0638
g12274i,3,0.0588
g12299i,3,0.0546
g12300i,3,0.0546
g12301i,3,0.0546
g12302i,3,0.0563
g12303i,3,0.0563
g12376i,3,0.1148
g12377i,3,0.1148
g12378i,3,0.1148
g12379i,3,0.1148
g12399i,3,0.1091
g12400i,3,0.1091
g12401i,3,0.1091
g12512i,3,0.0953
g12513i,3,0.0953
g12514i,3,0.0953
g12515i,3,0.0953
g12516i,3,0.0953
g12675i,3,0.0214
g12676i,3,0.0214
g12677i,3,0.0214
g12678i,3,0.0214
g12753i,3,0.0442
g12754i,3,0.0442
g12874i,3,0.1412
g13951i,3,0.0419
g13952i,3,0.0102
g13953i,3,0.0086
g13954i,3,0.034
g13955i,3,0.0219
g13956i,3,0.0094
g13957i,3,0.0099
g13958i,3,0.0094
g13959i,3,0.0209
g13960i,3,0.0213
g13961i,3,0.0419
g13962i,3,0.0328
g13963i,3,0.034
g13964i,3,0.0218
g13965i,3,0.0213
g13966i,3,0.0361
g13967i,3,0.0553
g13968i,3,0.0216
g13969i,3,0.0328
g13970i,3,0.0405
g13971i,3,0.0102
g13972i,3,0.0775
g13973i,3,0.0144
g13974i,3,0.0505
g13975i,3,0.0216
g13976i,3,0.0415
g13977i,3,0.034
g13978i,3,0.0123
g13979i,3,0.0991
g13980i,3,0.0216
g13981i,3,0.0125
g13982i,3,0.0149
g13983i,3,0.0702
g13984i,3,0.0216
g13985i,3,0.1086
g13986i,3,0.0535
g13987i,3,0.041
g13988i,3,0.0422
g13989i,3,0.1091
g13990i,3,0.0712
g13991i,3,0.0712
g13992i,3,0.0111
g10441i,4,0
g10447i,4,0.4005
g10448i,4,0.4005
g10451i,4,0.3578
g10452i,4,0.3578
g10453i,4,0.3578
g10454i,4,0.4091
g10455i,4,0.4091
g10456i,4,0.4091
g10457i,4,0.4091
g10473i,4,0.4632
g10474i,4,0.4632
g10484i,4,0.3931
g10544i,4,0.3611
g10545i,4,0.3611
g10546i,4,0.3611
g10602i,4,0.3505
g10603i,4,0.3505
g10604i,4,0.3505
g10605i,4,0.3505
g10666i,4,0.4129
g10667i,4,0.4129
g10668i,4,0.4129
g10678i,4,0.3828
g10705i,4,0.4444
g10706i,4,0.4444
g10707i,4,0.4444
g10708i,4,0.4444
g10709i,4,0.4444
g10710i,4,0.4444
g10711i,4,0.4444
g10717i,4,0.4235
g10718i,4,0.4235
g10719i,4,0.4235
g10720i,4,0.4235
g10721i,4,0.4235
g10723i,4,0.4096
g10724i,4,0.4096
g10763i,4,0.4972
g10764i,4,0.4972
g10765i,4,0.4972
g10809i,4,0.5634
g10810i,4,0.5634
g10811i,4,0.5634
g10812i,4,0.5634
g10825i,4,0.5494
g10826i,4,0.5494
g10827i,4,0.5615
g10828i,4,0.5615
g10829i,4,0.5615
g10858i,4,0.5278
g10859i,4,0.5278
g10860i,4,0.5278
g10871i,4,0.6268
g10903i,4,0.5875
g10904i,4,0.5875
g10920i,4,0.4853
g10921i,4,0.4853
g10922i,4,0.4853
g10923i,4,0.4853
g10924i,4,0.4853
g10925i,4,0
g10935i,4,0.5619
g10936i,4,0.5619
g10937i,4,0.5619
g10938i,4,0.5619
g10939i,4,0.5638
g10940i,4,0.5638
g10948i,4,0.5637
g10949i,4,0.5637
g10955i,4,0.5778
g10956i,4,0.553
g10957i,4,0.553
g10958i,4,0.553
g10959i,4,0.553
g10960i,4,0.553
g10965i,4,0.5637
g10966i,4,0.5637
g10967i,4,0.5637
g10968i,4,0.5637
g10969i,4,0.5637
g10970i,4,0.5637
g10973i,4,0.554
g10974i,4,0.554
g10975i,4,0
g10976i,4,0
g10989i,4,0.566
g10990i,4,0.566
g10991i,4,0.566
g10992i,4,0.566
g11066i,4,0.5811
g11067i,4,0.5811
g11151i,4,0.6742
g11152i,4,0.6742
g11153i,4,0.6742
g11154i,4,0.6742
g11165i,4,0.7802
g11166i,4,0.7802
g11167i,4,0.7802
g11168i,4,0.6477
g11169i,4,0.6477
g11170i,4,0.6477
g11171i,4,0.6477
g11172i,4,0.6477
g11186i,4,0.6888
g11187i,4,0.6888
g11200i,4,0.7761
g11201i,4,0.7761
g11202i,4,0.7761
g11229i,4,0.6404
g11230i,4,0.6404
g11232i,4,0.6475
g11233i,4,0.6475
g11234i,4,0.6475
g11235i,4,0.6475
g11249i,4,0.7802
g11250i,4,0.7802
g11251i,4,0.7802
g11253i,4,0.6078
g11254i,4,0.6078
g11255i,4,0.6078
g11256i,4,0.6078
g11257i,4,0.6078
g11259i,4,0.7642
g11281i,4,0.6733
g11282i,4,0.6733
g11283i,4,0.6733
g11284i,4,0.6733
g11285i,4,0.6733
g11286i,4,0.6467
g11287i,4,0.6467
g11288i,4,0.6467
g11344i,4,0.6542
g11347i,4,0.6984
g11348i,4,0.6984
g11349i,4,0.6984
g11350i,4,0.6984
g11351i,4,0.6984
g11353i,4,0.6562
g11354i,4,0.6562
g11359i,4,0.7884
g11360i,4,0.7884
g11361i,4,0.7884
g11375i,4,0.7728
g11377i,4,0.6561
g11379i,4,0.7781
g11382i,4,0.7713
g11383i,4,0.7713
g11400i,4,0.6545
g11401i,4,0.6545
g11402i,4,0.6545
g11403i,4,0.6545
g11413i,4,0.7655
g11414i,4,0.7655
g11415i,4,0.7655
g11416i,4,0.7655
g11417i,4,0.7655
g11419i,4,0.7737
g11420i,4,0.7737
g11421i,4,0.7737
g11459i,4,0.7857
g11476i,4,0.7629
g11477i,4,0.7629
g11478i,4,0.7629
g11479i,4,0.7629
g11549i,4,0.6428
g11550i,4,0.6428
g11551i,4,0.7857
g11552i,4,0.7857
g11577i,4,0.7047
g11578i,4,0.7047
g11579i,4,0.7047
g11580i,4,0.7047
g11581i,4,0.7047
g11582i,4,0.751
g11583i,4,0.6636
g11584i,4,0.6636
g11585i,4,0.6636
g11639i,4,0.7605
g11640i,4,0.7605
g11641i,4,0.7605
g11642i,4,0.7605
g11651i,4,0.7726
g11652i,4,0.7726
g11653i,4,0.7726
g11654i,4,0.7726
g11658i,4,0.7832
g11659i,4,0.7832
g11660i,4,0.7832
g11661i,4,0.7832
g11662i,4,0.7832
g11663i,4,0.7675
g11664i,4,0.7675
g11665i,4,0.7675
g11666i,4,0.7675
g11667i,4,0.7675
g11668i,4,0.7675
g11669i,4,0.7675
g11670i,4,0.7675
g11671i,4,0.7675
g11672i,4,0.7675
g11673i,4,0.7675
g11674i,4,0.7675
g11675i,4,0.7643
g11676i,4,0.7643
g11677i,4,0.7643
g11678i,4,0.7643
g11679i,4,0.7643
g11680i,4,0.7643
g11681i,4,0.7726
g11682i,4,0.7726
g11683i,4,0.7726
g11684i,4,0.7726
g11686i,4,0.7593
g11709i,4,0.7774
g11710i,4,0.7774
g11711i,4,0.7774
g11723i,4,0.7193
g11725i,4,0.7192
g11726i,4,0.7192
g11727i,4,0.7192
g11728i,4,0.7192
g11729i,4,0.7192
g11731i,4,0.7403
g11732i,4,0.7403
g11739i,4,0.7739
g11750i,4,0.723
g11751i,4,0.723
g11761i,4,0.7738
g11765i,4,0.7628
g11766i,4,0.7628
g11767i,4,0.7628
g11771i,4,0.7711
g11772i,4,0.7487
g11773i,4,0.7487
g11778i,4,0.7192
g11784i,4,0.7881
g11807i,4,0.777
g11808i,4,0.777
g11809i,4,0.777
g11815i,4,0.7193
g11816i,4,0.7193
g11817i,4,0.7658
g11818i,4,0.7658
g11819i,4,0.7658
g11824i,4,0.7374
g11825i,4,0.7374
g11826i,4,0.7374
g11827i,4,0.7374
g11828i,4,0.7822
g11829i,4,0.7822
g11830i,4,0.7822
g11831i,4,0.7822
g11832i,4,0.7822
g11833i,4,0.7822
g11834i,4,0.7822
g11835i,4,0.7822
g11840i,4,0.7193
g11842i,4,0.7192
g11866i,4,0.7259
g11892i,4,0.7226
g11893i,4,0.7226
g11894i,4,0.7741
g11895i,4,0.7741
g11896i,4,0.7741
g11905i,4,0.7695
g11914i,4,0.6066
g11915i,4,0.6066
g11916i,4,0.6167
g11917i,4,0.6167
g11918i,4,0.6167
g11919i,4,0.6153
g11920i,4,0.6997
g11921i,4,0.6476
g11922i,4,0.6476
g11929i,4,0.7418
g11930i,4,0.6359
g11931i,4,0.6359
g11932i,4,0.6359
g11933i,4,0.6359
g11934i,4,0.5419
g11935i,4,0.5419
g11936i,4,0.715
g11943i,4,0.6348
g11944i,4,0.6707
g11945i,4,0.6707
g11946i,4,0.624
g11947i,4,0.624
g11950i,4,0.5745
g11951i,4,0.5745
g11955i,4,0.6997
g11956i,4,0.6997
g11957i,4,0.6997
g11958i,4,0.6997
g11959i,4,0.6997
g11964i,4,0.6479
g11965i,4,0.6479
g11966i,4,0.6479
g11967i,4,0.6479
g11968i,4,0.6479
g11977i,4,0.726
g11978i,4,0.726
g11979i,4,0.726
g11980i,4,0.726
g11981i,4,0.726
g11982i,4,0.726
g11983i,4,0.6134
g11984i,4,0.6134
g11985i,4,0.5625
g11986i,4,0.5625
g11987i,4,0.5625
g11988i,4,0.7326
g11998i,4,0.6632
g12008i,4,0.6153
g12009i,4,0.6153
g12025i,4,0.71
g12026i,4,0.6479
g12027i,4,0.6479
g12028i,4,0.6479
g12029i,4,0.7101
g12040i,4,0.6997
g12041i,4,0.6997
g12042i,4,0.6997
g12043i,4,0.5946
g12047i,4,0.624
g12048i,4,0.624
g12049i,4,0.624
g12050i,4,0.624
g12062i,4,0.773
g12063i,4,0.773
g12064i,4,0.773
g12081i,4,0.7917
g12103i,4,0.8558
g12104i,4,0.7649
g12117i,4,0.7924
g12120i,4,0.7501
g12121i,4,0.7501
g12122i,4,0.7501
g12123i,4,0.7501
g12124i,4,0.7501
g12129i,4,0.7917
g12130i,4,0.7668
g12131i,4,0.7668
g12132i,4,0.7668
g12133i,4,0.7668
g12134i,4,0.7668
g12135i,4,0.7668
g12148i,4,0.7819
g12161i,4,0.7602
g12162i,4,0.7962
g12169i,4,0.783
g12170i,4,0.783
g12185i,4,0.796
g12214i,4,0.8132
g12215i,4,0.761
g12216i,4,0.8101
g12233i,4,0.754
g12234i,4,0.754
g12245i,4,0.8088
g12252i,4,0.761
g12253i,4,0.761
g12260i,4,0.7907
g12264i,4,0.775
g12265i,4,0.8001
g12269i,4,0.7535
g12273i,4,0.7896
g12274i,4,0.7835
g12299i,4,0.6552
g12300i,4,0.6552
g12301i,4,0.6552
g12302i,4,0.6412
g12303i,4,0.6412
g12376i,4,0.8411
g12377i,4,0.8411
g12378i,4,0.8411
g12379i,4,0.8411
g12399i,4,0.8529
g12400i,4,0.8529
g12401i,4,0.8529
g12512i,4,0.7092
g12513i,4,0.7092
g12514i,4,0.7092
g12515i,4,0.7092
g12516i,4,0.7092
g12675i,4,0.5048
g12676i,4,0.5048
g12677i,4,0.5048
g12678i,4,0.5048
g12753i,4,0.6411
g12754i,4,0.6411
